"sys_id","name","city","state","country","latitude","longitude","parent"
"2c603493ec5fc510078a8ddfae39e03b","Bakwa","","","","32.242618","62.947636","Kabul"
"bc603493ec5fc510078a8ddfae39e07f","Balangiga","","","","11.107673","125.386919","Manila"
"4112edf9ac1db610b210f748787f8304","BALIKUMBAT SUB DIVISIONAL MEDICALIZED HEALTH CENTER (BALIKUMBAT CMA) HQ","Ndop","North West Region","Cameroon | Cameroun","","",""
"30603493ec5fc510078a8ddfae39e07a","Balkans","","","","","","Bosnie-Herzégovine"
"a1f3d474fc6be65057be12e3ce1d8822","Balkans (regional)","","","","","","Europe and Central Asia region"
"3c603493ec5fc510078a8ddfae39e082","Bama","","","","11.52304","13.6792313","Maiduguri"
"28603493ec5fc510078a8ddfae39e032","Bamako","","","","12.63656","-8.021225","Bamako"
"74603493ec5fc510078a8ddfae39e07c","Bamako Airport","","","","0","0","Niamey"
"fc603493ec5fc510078a8ddfae39e083","Bambari","","","","5.7642873","20.6742311","Bangui"
"b0603493ec5fc510078a8ddfae39e085","Bamenda","","","","5.973966","10.170715","Yaoundé"
"9607b47dac55b610b210f748787f8354","Bamenda Regional Hospital HQ","Bamenda","North West Region","Cameroon | Cameroun","","",""
"70603493ec5fc510078a8ddfae39e086","Bamyian","","","","34.812938","67.821055","Kabul"
"0f3a88fc91fcb21474143caf562cef48","BAN","","","","","",""
"b7603893ec5fc510078a8ddfae39e0de","Ban Quick Office","","","","0","0","Thaïlande"
"a4603493ec5fc510078a8ddfae39e027","Bandar Abbas","","","","","","Iran"
"64603493ec5fc510078a8ddfae39e035","Bangassou","","","","","","République centrafricaine"
"ac603493ec5fc510078a8ddfae39e033","Bangkok","","","","13.732723","100.560351","Bangkok"
"f8603493ec5fc510078a8ddfae39e06c","Bangkok (pour Applic. Logistiques)","","","","0","0","Bangkok"
"e9f3d474fc6be65057be12e3ce1d8822","Bangkok (regional)","","","","","","Asia and the Pacific region"
"fc603493ec5fc510078a8ddfae39e086","Bangkok Annex01","","","","13.732708","100.560281","Bangkok"
"236b701a413975108e4d535b9d23bf93","Bangkok Logistics Centre","","","","13.732723","100.560351","Bangkok"
"65f39474fc6be65057be12e3ce1d881e","Bangladesh","","","","","","Asia and the Pacific region"
"95703c93ec5fc510078a8ddfae39e02c","Bangladesh","","","","","","Asia and the Pacific region"
"b0603493ec5fc510078a8ddfae39e08a","Bangui","","","","4.383142","18.556488","Bangui"
"38603493ec5fc510078a8ddfae39e059","Bangui Airport","","","","0","0","Bangui"
"70603493ec5fc510078a8ddfae39e088","Bangui Annex","","","","4.383142","18.556488","Bangui"
"b4603493ec5fc510078a8ddfae39e08d","Bangui Ouest","","","","4.382292","18.556348","Bangui"
"74603493ec5fc510078a8ddfae39e08e","Bangui Support","","","","0","0","Bangui"
"a4603493ec5fc510078a8ddfae39e031","Banja Luka","","","","","","Bosnie-Herzégovine"
"64603493ec5fc510078a8ddfae39e02f","Banjul","","","","13.49212","-16.482682","Dakar"
